time,position
1981.09—1986.07,清华大学核反应堆工程专业学习
1986.07—1989.07,清华大学核反应堆工程与安全专业硕士研究生
1989.07—1993.03,国家核安全局北京核安全中心助理工程师、工程师
1993.03—1994.12,国家核安全局核反应堆处干部、主任科员
1994.12—1996.05,国家核安全局核反应堆处副处长
1996.05—1998.07,国家核安全局核反应堆处处长
1998.07—1999.01,国家环境保护总局核安全与辐射环境管理司核反应堆处处长
1999.01—2000.07,中国驻法国使馆科技处一等秘书（正处级）
2000.07—2000.11,国家环境保护总局核安全与辐射环境管理司正处级干部
2000.11—2001.07,国家环境保护总局核安全与辐射环境管理司副司长
2001.07—2002.07,国家环境保护总局核安全中心主任、党委副书记（正局级）
2002.07—2005.08,国家环境保护总局核安全司司长兼核安全中心主任、党委副书记
2005.08—2006.12,国家环境保护总局核安全司司长
2006.12—2008.03,国家环境保护总局副局长、党组成员、国家核安全局局长
2008.03—2016.10,环境保护部副部长、党组成员、国家核安全局局长
2016.10—2017.05,河北省委副书记、省委党校校长
2017.05—2017.06,环境保护部党组书记
2017.06—,环境保护部党组书记、部长